singleSig,dualSig,referenceSignal,singleMTR,dualMTR,ihMTR,MTsatSingle,MTsatDual,ihMTsat,acqTime,ihMTR_SNR,ihMTR_SNR_eff,ihMTsatSNR,ihMTsatSNReff
0.041119839573403,0.0405819647839452,0.0565762588309768,0.273196205916518,0.282703281862715,0.00950707594619694,0.0049872490958194,0.00521512387032678,0.000227874774507375,242.985,0.878319391366656,0.00361470622205756,0.880492170598454,0.00362364825235489
0.0409812671130353,0.0405891681604355,0.0565762588309768,0.275645509974988,0.282575960321152,0.00693045034616409,0.00504484030704829,0.00521205197084852,0.000167211663800237,242.985,0.640284657247142,0.00263507894416175,0.645233253224609,0.00265544479381282
0.0408657775811212,0.0405786043268083,0.0565762588309768,0.277686817306021,0.2827626788113,0.00507586150527951,0.00509409113175675,0.0052165569464043,0.000122465814647546,242.985,0.468947933195321,0.0019299460180477,0.475435283734639,0.00195664458190686
0.0406104682177858,0.0404944482961421,0.0565762588309768,0.282199476301345,0.284250158407956,0.00205068210661081,0.0052029685035121,0.00525253012715227,4.95616236401699e-05,242.985,0.189459473105507,0.000779716744266136,0.19767320379208,0.000813520191748792
0.0406141247174787,0.0401802109893322,0.0565762588309768,0.282134846724055,0.289804384037273,0.00766953731321821,0.00520140917928213,0.00539132673010388,0.000189917550821757,242.985,0.708564258025615,0.00291608230148205,0.712267994229656,0.00293132495516043
0.0404845071396458,0.0401709245535371,0.0565762588309768,0.284425870918852,0.289968524190528,0.00554265327167602,0.00525692107221575,0.00539542848923292,0.000138507417017169,242.985,0.512072975020451,0.00210742628154187,0.517907327882977,0.00213143744627437
0.0404475917802708,0.0397504034155892,0.0516653243103966,0.217123044902062,0.23061736384784,0.0134943189457784,0.00815192043642369,0.00879074421018729,0.000638823773763597,242.985,1.1384347324326,0.00468520580460771,1.13898855140592,0.00468748503572615
0.0402728829755967,0.0397630022135332,0.0516653243103966,0.220504593494006,0.230373509810105,0.00986891631609908,0.00831077057084499,0.00877904065505295,0.000468270084207962,242.985,0.832604767594865,0.00342656858487094,0.836575017515195,0.00344290807051956
0.0401287573413433,0.0397540915710687,0.0516653243103966,0.223294194375777,0.230545978338725,0.00725178396294714,0.00844181363085216,0.00878731812690614,0.000345504496053972,242.985,0.611815916133,0.00251791639867893,0.617708031319421,0.00254216528312209
0.0398155687832599,0.0396626863541896,0.0516653243103966,0.229356065897224,0.232315157533846,0.00295909163662215,0.0087302093498957,0.00887222829056344,0.000142018940667735,242.985,0.249655232561669,0.0010274512112339,0.257755104580237,0.00106078607560235
0.0397151339000904,0.0391231127686812,0.0516653243103966,0.231300017367771,0.242758788590273,0.0114587712225019,0.00882350755166134,0.00938079831503756,0.000557290763376218,242.985,0.96672414878963,0.00397853426668161,0.969168750489469,0.00398859497701286
0.0395573364429837,0.0391283316343253,0.0516653243103966,0.234354241050925,0.242657775663057,0.00830353461213236,0.00897009226930766,0.0093758486881111,0.000405756418803433,242.985,0.700545818555853,0.00288308257117046,0.705650175523543,0.00290408945212068
0.0427400370376715,0.0418320313106214,0.0516664069111356,0.172769317766129,0.190343710516371,0.0175743927502427,0.0122755646310088,0.0137477097293508,0.00147214509834193,242.985,1.48261451130462,0.006101670931558,1.47803302940602,0.00608281593269553
0.0418151201174529,0.0410402274801346,0.0516664069111356,0.190671025578121,0.205669022993561,0.0149979974154408,0.0137757690607237,0.015077747565298,0.00130197850457431,242.985,1.26529950934325,0.00520731530482641,1.26370955601933,0.00520077188311759
0.0415884247850653,0.0410150295139483,0.0516664069111356,0.195058699231865,0.206156728016858,0.0110980287849933,0.0141519057051809,0.0151204477912008,0.000968542086019937,242.985,0.936312116881438,0.00385337414606432,0.93894620921086,0.0038642147013637
0.0410915017427063,0.0408525550618748,0.0516664069111356,0.20467661292216,0.209301410641159,0.00462479771899829,0.0149908587037673,0.0154018589741777,0.000411000270410434,242.985,0.390195513923799,0.00160584198170175,0.397496601847425,0.00163588946580005
0.0408419346725499,0.0398445778104642,0.0516664069111356,0.20950696759702,0.228810745848934,0.0193037782519144,0.0154202943784623,0.0171869493652576,0.00176665498679534,242.985,1.62847467225944,0.0067019555621106,1.62017830072817,0.00666781200785304
0.0405878658269519,0.039861504481521,0.0516664069111356,0.214424453847515,0.228483131213646,0.0140586773661307,0.0158613198193771,0.0171560871820207,0.00129476736264363,242.985,1.1860649722043,0.00488122712185651,1.18522109950749,0.00487775418033003
0.0403903399496832,0.039857342196573,0.0516664069111356,0.218247554563777,0.228563691972499,0.010316137408722,0.0162089770372454,0.0171636762230269,0.000954699185781432,242.985,0.870350811635752,0.00358191168852296,0.873528125382171,0.0035949878609057
0.0399876297747684,0.0397696837836755,0.0516664069111356,0.2260419842327,0.230260314945494,0.00421833071279358,0.0169261245450709,0.0173235026881373,0.000397378143066465,242.985,0.355902202102985,0.00146470852975692,0.363379925643657,0.00149548295427149
0.0402699501699838,0.0394634124888481,0.0516664069111356,0.220577691046975,0.23618817626076,0.0156104852137849,0.0164232054359085,0.0178835078077888,0.00146030237188029,242.985,1.31696354667666,0.00541993763679513,1.31423980286366,0.00540872812257405
0.0400471355368013,0.0394632732070616,0.0516664069111356,0.224890254015903,0.236190872050827,0.0113006180349239,0.0168196944251279,0.0178837677906826,0.00106407336555468,242.985,0.953402608361629,0.00392370972842615,0.955666412307448,0.00393302636914809
0.0398753814272826,0.0394483608360465,0.0516664069111356,0.228214543816318,0.236479500037687,0.00826495622136976,0.0171307855239791,0.0179116031700795,0.00078081764610036,242.985,0.69730582810284,0.00286974845403148,0.70226091120169,0.00289014100130333
