delta,flipAngle,TR,numSatPulse,pulseDur,numExc,satTrainPerBoost,TR_MT,b1
8000,4,0.09,2,0.00128,6,1,1,14
8000,4,0.09,2,0.00128,8,1,1,13.9203036492011
8000,4,0.09,2,0.002048,6,1,1,11.5859965186964
8000,4,0.09,2,0.002048,8,1,1,11.0049663131572
8000,4,0.09,4,0.000768,6,1,1,13.3783564177989
8000,4,0.09,4,0.000768,8,1,1,12.7074405266482
8000,4,0.09,4,0.001024,6,1,1,11.5859965186964
8000,4,0.09,4,0.001024,8,1,1,11.0049663131572
8000,4,0.09,4,0.00128,6,1,1,10.3628303211525
8000,4,0.09,4,0.00128,8,1,1,9.84314110652594
8000,4,0.09,4,0.002048,6,1,1,8.19253670517399
8000,4,0.09,4,0.002048,8,1,1,7.78168630676301
8000,4,0.09,6,0.000768,6,1,1,10.9233822735653
8000,4,0.09,6,0.000768,8,1,1,10.3755817423507
8000,4,0.09,6,0.001024,6,1,1,9.45992654415618
8000,4,0.09,6,0.001024,8,1,1,8.9855173679177
8000,4,0.09,6,0.00128,6,1,1,8.46121552595516
8000,4,0.09,6,0.00128,8,1,1,8.03689105906758
8000,4,0.09,6,0.002048,6,1,1,6.68917820889946
8000,4,0.09,8,0.000768,6,1,1,9.45992654415618
8000,4,0.09,8,0.000768,8,1,1,8.9855173679177
8000,4,0.09,8,0.001024,6,1,1,8.19253670517399
8000,4,0.09,8,0.001024,8,1,1,7.78168630676301
8000,4,0.09,8,0.00128,6,1,1,7.32762759237248
8000,4,0.09,8,0.002048,6,1,1,5.79299825934822
8000,4,0.09,10,0.000768,6,1,1,8.46121552595516
8000,4,0.09,10,0.000768,8,1,1,8.03689105906758
8000,4,0.09,10,0.001024,6,1,1,7.32762759237248
8000,4,0.09,10,0.00128,6,1,1,6.55402936413919
8000,4,0.09,10,0.002048,6,1,1,5.18141516057623
8000,4,0.09,12,0.000768,6,1,1,7.72399767913096
8000,4,0.09,12,0.001024,6,1,1,6.68917820889946
8000,4,0.09,12,0.00128,6,1,1,5.98298287548379
8000,4,0.09,14,0.000768,6,1,1,7.15103230193598
8000,4,0.09,14,0.001024,6,1,1,6.19297563675967
8000,4,0.09,14,0.00128,6,1,1,5.53916580271787
8000,4,0.09,16,0.000768,6,1,1,6.68917820889946
8000,4,0.09,16,0.001024,6,1,1,5.79299825934822
8000,4,0.09,16,0.00128,6,1,1,5.18141516057623
8000,4,0.09,18,0.000768,6,1,1,6.30661769610412
8000,4,0.09,18,0.001024,6,1,1,5.46169113678266
8000,4,0.09,20,0.000768,6,1,1,5.98298287548379
8000,4,0.09,20,0.001024,6,1,1,5.18141516057623
8000,4,0.1,2,0.000768,8,1,1,14
8000,4,0.1,2,0.000768,10,1,1,14
8000,4,0.1,2,0.001024,8,1,1,14
8000,4,0.1,2,0.001024,10,1,1,14
8000,4,0.1,2,0.00128,8,1,1,14
8000,4,0.1,2,0.00128,10,1,1,14
8000,4,0.1,2,0.002048,8,1,1,11.9104202483225
8000,4,0.1,2,0.002048,10,1,1,11.346015984218
8000,4,0.1,4,0.000768,8,1,1,13.7529686730612
8000,4,0.1,4,0.000768,10,1,1,13.1012507654361
8000,4,0.1,4,0.001024,8,1,1,11.9104202483225
8000,4,0.1,4,0.001024,10,1,1,11.346015984218
8000,4,0.1,4,0.00128,8,1,1,10.6530037263356
8000,4,0.1,4,0.00128,10,1,1,10.1481852058043
8000,4,0.1,4,0.002048,8,1,1,8.42193892437042
8000,4,0.1,6,0.000768,8,1,1,11.2292518991606
8000,4,0.1,6,0.000768,10,1,1,10.6971264558554
8000,4,0.1,6,0.001024,8,1,1,9.7248174101677
8000,4,0.1,6,0.00128,8,1,1,8.69814111916337
8000,4,0.1,6,0.002048,8,1,1,6.87648433653058
8000,4,0.1,8,0.000768,8,1,1,9.7248174101677
8000,4,0.1,8,0.001024,8,1,1,8.42193892437042
8000,4,0.1,8,0.00128,8,1,1,7.53281117489748
8000,4,0.1,8,0.002048,8,1,1,5.95521012416126
8000,4,0.1,10,0.000768,8,1,1,8.69814111916337
8000,4,0.1,10,0.001024,8,1,1,7.53281117489748
8000,4,0.1,10,0.00128,8,1,1,6.73755113949633
8000,4,0.1,12,0.000768,8,1,1,7.94028016554835
8000,4,0.1,12,0.001024,8,1,1,6.87648433653058
8000,4,0.1,12,0.00128,8,1,1,6.15051456907796
8000,4,0.1,14,0.000768,8,1,1,7.35127097508998
8000,4,0.1,14,0.001024,8,1,1,6.36638741453113
8000,4,0.1,16,0.000768,8,1,1,6.87648433653058
8000,4,0.1,16,0.001024,8,1,1,5.95521012416126
8000,4,0.1,18,0.000768,8,1,1,6.48321160677846
8000,4,0.1,20,0.000768,8,1,1,6.15051456907796
8000,4,0.11,2,0.000768,8,1,1,14
8000,4,0.11,2,0.000768,10,1,1,14
8000,4,0.11,2,0.001024,8,1,1,14
8000,4,0.11,2,0.001024,10,1,1,14
8000,4,0.11,2,0.00128,8,1,1,14
8000,4,0.11,2,0.00128,10,1,1,14
8000,4,0.11,2,0.002048,8,1,1,12.7517425252228
8000,4,0.11,2,0.002048,10,1,1,12.2262384097504
8000,4,0.11,4,0.000768,8,1,1,14
8000,4,0.11,4,0.000768,10,1,1,14
8000,4,0.11,4,0.001024,8,1,1,12.7517425252228
8000,4,0.11,4,0.001024,10,1,1,12.2262384097504
8000,4,0.11,4,0.00128,8,1,1,11.4055052471892
8000,4,0.11,4,0.00128,10,1,1,10.9354800773283
8000,4,0.11,4,0.002048,8,1,1,9.01684361152993
8000,4,0.11,4,0.002048,10,1,1,8.64525608793794
8000,4,0.11,6,0.000768,8,1,1,12.0224581487066
8000,4,0.11,6,0.000768,10,1,1,11.5270081172506
8000,4,0.11,6,0.001024,8,1,1,10.4117541727151
8000,4,0.11,6,0.001024,10,1,1,9.98268185916844
8000,4,0.11,6,0.00128,8,1,1,9.31255603808325
8000,4,0.11,6,0.00128,10,1,1,8.92878209394185
8000,4,0.11,6,0.002048,8,1,1,7.3622219795742
8000,4,0.11,6,0.002048,10,1,1,7.05882203704594
8000,4,0.11,8,0.000768,8,1,1,10.4117541727151
8000,4,0.11,8,0.000768,10,1,1,9.98268185916844
8000,4,0.11,8,0.001024,8,1,1,9.01684361152993
8000,4,0.11,8,0.001024,10,1,1,8.64525608793794
